Colony,Distance,Mass,Headwidth,Headwidth..mm.,Size.class
1,1,109,45.000,1.895,>43
1,1,120,43.000,1.811,40-43
1,1,94,42.000,1.768,40-43
1,1,61,33.000,1.389,30-34
1,1,72,41.000,1.726,40-43
1,1,134,46.000,1.937,>43
1,1,94,43.000,1.811,40-43
1,1,113,42.000,1.768,40-43
1,1,111,42.000,1.768,40-43
1,1,106,43.000,1.811,40-43
1,1,107,46.000,1.937,>43
1,1,96,42.000,1.768,40-43
1,1,53,33.000,1.389,30-34
1,1,121,44.000,1.853,>43
1,1,85,44.000,1.853,>43
1,1,115,45.000,1.895,>43
1,1,109,46.000,1.937,>43
1,1,105,39.000,1.642,35-39
1,1,93,39.000,1.642,35-39
1,1,103,42.000,1.768,40-43
1,1,110,44.000,1.853,>43
1,1,94,40.000,1.684,40-43
1,4,91,42.000,1.768,40-43
1,4,161,46.000,1.937,>43
1,4,44,28.000,1.179,<30
1,4,87,40.000,1.684,40-43
1,4,107,46.000,1.937,>43
1,4,107,41.000,1.726,40-43
1,4,86,40.000,1.684,40-43
1,4,91,38.000,1.6,35-39
1,4,156,43.000,1.811,40-43
1,4,95,43.000,1.811,40-43
1,4,95,42.000,1.768,40-43
1,4,98,42.000,1.768,40-43
1,4,72,37.000,1.558,35-39
1,4,76,39.000,1.642,35-39
1,4,154,43.000,1.811,40-43
1,4,34,28.000,1.179,<30
1,4,125,47.000,1.979,>43
1,4,51,32.000,1.347,30-34
1,4,83,39.000,1.642,35-39
1,4,36,29.000,1.221,<30
1,4,105,42.000,1.768,40-43
1,4,63,36.000,1.516,35-39
1,4,49,33.000,1.389,30-34
1,4,91,42.000,1.768,40-43
1,4,104,43.000,1.811,40-43
1,4,93,45.000,1.895,>43
1,4,84,43.000,1.811,40-43
1,4,95,43.000,1.811,40-43
1,4,80,38.000,1.6,35-39
1,4,74,39.000,1.642,35-39
1,4,96,43.000,1.811,40-43
1,4,149,44.000,1.853,>43
1,4,107,44.000,1.853,>43
1,4,98,42.000,1.768,40-43
1,4,110,46.000,1.937,>43
1,7,115,45.000,1.895,>43
1,7,107,41.000,1.726,40-43
1,7,105,42.000,1.768,40-43
1,7,96,43.000,1.811,40-43
1,7,70,37.000,1.558,35-39
1,7,96,42.000,1.768,40-43
1,7,127,43.000,1.811,40-43
1,7,131,45.000,1.895,>43
1,7,104,40.000,1.684,40-43
1,7,126,46.000,1.937,>43
1,7,83,42.000,1.768,40-43
1,7,108,43.000,1.811,40-43
1,7,99,42.000,1.768,40-43
1,7,92,42.000,1.768,40-43
1,7,103,47.000,1.979,>43
1,7,104,42.000,1.768,40-43
1,7,107,42.000,1.768,40-43
1,7,120,45.000,1.895,>43
1,7,112,43.000,1.811,40-43
1,7,97,41.000,1.726,40-43
1,7,94,42.000,1.768,40-43
1,7,92,40.000,1.684,40-43
1,10,123,44.000,1.853,>43
1,10,72,33.000,1.389,30-34
1,10,92,40.000,1.684,40-43
1,10,75,38.000,1.6,35-39
1,10,110,46.000,1.937,>43
1,10,97,43.000,1.811,40-43
1,10,93,41.000,1.726,40-43
1,10,88,43.000,1.811,40-43
1,10,82,42.000,1.768,40-43
1,10,101,43.000,1.811,40-43
1,10,110,41.000,1.726,40-43
1,10,75,37.000,1.558,35-39
1,10,81,40.000,1.684,40-43
1,10,99,43.000,1.811,40-43
1,10,103,43.000,1.811,40-43
1,10,114,46.000,1.937,>43
1,10,101,46.000,1.937,>43
1,10,77,42.000,1.768,40-43
1,10,125,47.000,1.979,>43
1,10,90,39.000,1.642,35-39
2,1,148,45.000,1.895,>43
2,1,110,45.000,1.895,>43
2,1,110,41.000,1.726,40-43
2,1,97,41.000,1.726,40-43
2,1,136,45.000,1.895,>43
2,1,115,43.000,1.811,40-43
2,1,101,42.000,1.768,40-43
